Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
2248,1:44.79,,Job KINYOR,08 MAY 1990,KEN,5,,Nairobi (KEN),2012-06-23,1180,2012,104.78999999999999
2248,1:44.79,,Edwin Kiplagat MELLY,23 APR 1994,KEN,3,,"Estadio Olímpico, Barcelona (ESP)",2012-07-15,1180,2012,104.78999999999999
2248,1:44.79,,Tyler MULDER,15 FEB 1987,USA,1f1,,"Portland, OR (USA)",2013-06-08,1180,2013,104.78999999999999
2248,1:44.79,,Pierre-Ambroise BOSSE,11 MAY 1992,FRA,7,,"Luzhniki Stadion, Moskva (RUS)",2013-08-13,1180,2013,104.78999999999999
2248,1:44.79,,Nick SYMMONDS,30 DEC 1983,USA,1,,"Stadion Orzeł, Warszawa (POL)",2013-08-25,1180,2013,104.78999999999999
2248,1:44.79,,Duane SOLOMON,28 DEC 1984,USA,1,,Ponce (PUR),2014-05-17,1180,2014,104.78999999999999
2248,1:44.79,,Marcin LEWANDOWSKI,13 JUN 1987,POL,6f1,,"Hayward Field, Eugene, OR (USA)",2014-05-31,1180,2014,104.78999999999999
2248,1:44.79,,Mateusz BORKOWSKI,02 APR 1997,POL,5,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2022-06-03,1180,2022,104.78999999999999
2248,1:44.79,,Yassine HETHAT,30 AUG 1991,ALG,2,,"Stade Complexe Olympique, Oran (ALG)",2022-07-03,1180,2022,104.78999999999999
2248,1:44.79,,Adrián BEN,04 AUG 1998,ESP,4f1,,"Estadi Joan Serrahima, Barcelona (ESP)",2023-07-05,1180,2023,104.78999999999999
2248,1:44.79,,Catalin TECUCEANU,09 SEP 1999,ITA,4sf2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-24,1180,2023,104.78999999999999
2248,1:44.79,,Elias NGENY,04 MAY 1996,KEN,4,,"Nyayo National Stadium, Nairobi (KEN)",2024-03-06,1180,2024,104.78999999999999
2248,1:44.79,,Callum DODDS,10 JUN 2000,GBR,1,,"Mary Peters Track, Belfast (GBR)",2024-05-11,1180,2024,104.78999999999999
2248,1:44.79,,Benjamin ROBERT,04 JAN 1998,FRA,3f1,,"Paavo Nurmen Stadion, Turku (FIN)",2024-06-18,1180,2024,104.78999999999999
2248,1:44.79,,Moad ZAHAFI,09 MAY 1998,MAR,2f1,,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",2024-06-23,1180,2024,104.78999999999999
2279,1:44.80,,Ken SWENSON,18 APR 1948,USA,1,,Stuttgart (GER),1970-07-16,1180,1970,104.8
2279,1:44.80,,Sammy KOSKEI,14 MAY 1961,KEN,1,,Hannover (GER),1984-08-19,1180,1984,104.8
2279,1:44.80,,William WUYCKE,21 MAY 1958,VEN,4,,Bruxelles (BEL),1984-08-24,1180,1984,104.8
2279,1:44.80,,Tom MCKEAN,27 OCT 1963,GBR,2,,Edinburgh (GBR),1986-07-31,1180,1986,104.8
2279,1:44.80,,Johnny GRAY,19 JUN 1960,USA,2,,Köln (GER),1986-08-17,1180,1986,104.8
2279,1:44.80,,Johnny GRAY,19 JUN 1960,USA,5,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-26,1180,1988,104.8
2279,1:44.80,,Sammy Kibet LANGAT,24 JAN 1970,KEN,3,,Caorle (ITA),1996-06-15,1180,1996,104.8
2279,1:44.80,,David KIPTOO SINGOEI,25 JUN 1965,KEN,7,,Köln (GER),1996-08-16,1180,1996,104.8
2279,1:44.80,,Laban ROTICH,20 JAN 1969,KEN,2,,Nairobi (KEN),1997-05-10,1180,1997,104.8
2279,1:44.80,,Norberto TÉLLEZ,23 DEC 1972,CUB,2,,Padova (ITA),1998-06-07,1180,1998,104.8
2279,1:44.80,,Japheth KIMUTAI,20 DEC 1978,KEN,1,,Bruxelles (BEL),1998-08-28,1180,1998,104.8
2279,1:44.80,,Hezekiel SEPENG,30 JUN 1974,RSA,3,,"Olympiastadion, Berlin (GER)",1999-09-07,1180,1999,104.8
2279,1:44.80,,André BUCHER,19 OCT 1976,SUI,1,,Oslo (NOR),2000-07-09,1180,2000,104.8
2279,1:44.80,,Noah NGENY,02 NOV 1978,KEN,6,,"Stade Louis II, Monaco (MON)",2000-08-18,1180,2000,104.8
2279,1:44.80,,Glody DUBE,02 JUL 1978,BOT,3,,Milano (ITA),2001-06-06,1180,2001,104.8
2279,1:44.80,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,Stockholm (SWE),2001-07-17,1180,2001,104.8
2279,1:44.80,,Benjamin KIPKURUI,28 DEC 1980,KEN,2,,Leverkusen (GER),2001-08-26,1180,2001,104.8
2279,1:44.80,,Paweł CZAPIEWSKI,30 MAR 1978,POL,2,,Gdansk (POL),2002-07-27,1180,2002,104.8
2279,1:44.80,,Japheth KIMUTAI,20 DEC 1978,KEN,6,,"Stadio Olimpico, Roma (ITA)",2003-07-11,1180,2003,104.8
2279,1:44.80,,Antonio Manuel REINA,13 JUN 1981,ESP,4f1,,Sevilla (ESP),2005-06-04,1180,2005,104.8
2279,1:44.80,,Antonio Manuel REINA,13 JUN 1981,ESP,2,,Madrid (ESP),2005-07-16,1180,2005,104.8
2279,1:44.80,,Djabir SAID-GUERNI,29 MAR 1977,ALG,4sf1,,"Olympiastadion, Helsinki (FIN)",2005-08-12,1180,2005,104.8
2279,1:44.80,,Mohammed Khalaf AL AZEMI,16 JUN 1982,KUW,1f2,,Doha (QAT),2006-05-12,1180,2006,104.8
2279,1:44.80,,Bram SOM,20 FEB 1980,NED,4,,"FBK Stadium, Hengelo (NED)",2009-06-01,1180,2009,104.8
2279,1:44.80,,Ismail Ahmed ISMAIL,10 SEP 1984,SUD,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2009-07-07,1180,2009,104.8
2279,1:44.80,,Richard KIPLAGAT,03 MAY 1984,KEN,2,,Rio de Janeiro (BRA),2010-05-23,1180,2010,104.8
2279,1:44.80,,Belal Mansoor ALI,17 OCT 1988,BRN,1,,Villeneuve d'Ascq (FRA),2010-08-24,1180,2010,104.8
2279,1:44.80,,David RUDISHA,17 DEC 1988,KEN,1,,Sydney (AUS),2011-03-19,1180,2011,104.8
2279,1:44.80,,Marcin LEWANDOWSKI,13 JUN 1987,POL,4,,"DS, Daegu (KOR)",2011-08-30,1180,2011,104.8
2279,1:44.80,,Sören LUDOLPH,25 FEB 1988,GER,6,,"FBK Stadium, Hengelo (NED)",2012-05-27,1180,2012,104.8
2279,1:44.80,,Amel TUKA,09 JAN 1991,BIH,1f2,,Rovereto (ITA),2016-09-06,1180,2016,104.8
2279,1:44.80,,Alex AMANKWA,02 MAR 1992,GHA,1f2,,"Marietta, GA (USA)",2017-05-19,1180,2017,104.8
2279,1:44.80,,Hillary BIWOTT,02 DEC 2002,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",2021-05-29,1180,2021,104.8
2279,1:44.80,,Collins KIPRUTO,12 APR 1994,KEN,2,,"Stade des Grands Pêchers, Montreuil (FRA)",2021-06-01,1180,2021,104.8
2279,1:44.80,,Patryk DOBEK,13 FEB 1994,POL,3f1,,"Stade Delort, Marseille (FRA)",2021-06-09,1180,2021,104.8
2279,1:44.80,,Saúl ORDÓÑEZ,10 APR 1994,ESP,3f1,,Castellón (ESP),2021-06-29,1180,2021,104.8
2279,1:44.80,,Yassine HETHAT,30 AUG 1991,ALG,1f1,,"Sportcomplex De Leidse Hout, Leiden (NED)",2022-06-11,1180,2022,104.8
2279,1:44.80,,Tom DRADRIGA,17 JUN 1996,UGA,2,,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",2023-06-14,1180,2023,104.8
2279,1:44.80,,Guy LEARMONTH,20 APR 1992,GBR,4,,"Olympic Stadium, London (GBR)",2023-07-23,1180,2023,104.8
2279,1:44.80,,Clayton MURPHY,26 FEB 1995,USA,7,,"Hayward Field, Eugene, OR (USA)",2024-06-30,1180,2024,104.8
2319,1:44.81,,Detlef WAGENKNECHT,03 JAN 1959,GDR,2,,Jena (GDR),1981-08-08,1179,1981,104.81
2319,1:44.81,,Juma N'DIWA,28 NOV 1960,KEN,2,,Berlin (GER),1983-08-17,1179,1983,104.81
2319,1:44.81,,Steve OVETT,09 OCT 1955,GBR,4sf1,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-05,1179,1984,104.81
2319,1:44.81,,Johnny GRAY,19 JUN 1960,USA,4f1,,Zürich (SUI),1984-08-22,1179,1984,104.81
2319,1:44.81,,Andrea LONGO,26 JUN 1975,ITA,1,,Rovereto (ITA),1999-09-01,1179,1999,104.81
2319,1:44.81,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,3sf2,,"Commonwealth Stadium, Edmonton (CAN)",2001-08-05,1179,2001,104.81
2319,1:44.81,,André BUCHER,19 OCT 1976,SUI,7,,"Stadio Olimpico, Roma (ITA)",2003-07-11,1179,2003,104.81
2319,1:44.81,,Djabir SAID-GUERNI,29 MAR 1977,ALG,1,,"Stade de France, Paris-St-Denis (FRA)",2003-08-31,1179,2003,104.81
2319,1:44.81,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,3f1,,"Stadio Olimpico, Roma (ITA)",2005-07-08,1179,2005,104.81
2319,1:44.81,,David FIEGEN,03 SEP 1984,LUX,3f2,,Zürich (SUI),2006-08-18,1179,2006,104.81
2319,1:44.81,,Amine LAALOU,13 MAY 1982,MAR,4,,"Stade Louis II, Monaco (MON)",2006-08-20,1179,2006,104.81
2319,1:44.81,,Abubaker KAKI,21 JUN 1989,SUD,1,,"Velódromo Luis Puig, Valencia (ESP) (i)",2008-03-09,1237,2008,104.81
2319,1:44.81,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1f1,,Biberach (GER),2008-06-28,1179,2008,104.81
2319,1:44.81,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,1,,Stellenbosch (RSA),2009-03-14,1179,2009,104.81
2319,1:44.81,,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,,"Poljud Stadion, Split (CRO)",2010-09-05,1179,2010,104.81
2319,1:44.81,,Adam KSZCZOT,02 SEP 1989,POL,2sf3,,"DS, Daegu (KOR)",2011-08-28,1179,2011,104.81
2319,1:44.81,,Yassine HETHAT,30 AUG 1991,ALG,3sf2,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-13,1179,2016,104.81
2319,1:44.81,,Thiago ANDRÉ,04 AUG 1995,BRA,1,,Sao Bernardo do Campo (BRA),2017-06-11,1179,2017,104.81
2319,1:44.81,,Edose IBADIN,27 FEB 1993,NGR,1,,"Alexandria, VA (USA)",2020-08-01,1179,2020,104.81
2319,1:44.81,,Festus LAGAT,10 OCT 1996,KEN,1,,"Jack Kemp Stadium, Los Angeles, CA (USA)",2022-07-09,1179,2022,104.81
2319,1:44.81,,Andreas KRAMER,13 APR 1997,SWE,5,,"Egret Stadium, Xiamen (CHN)",2024-04-20,1179,2024,104.81
2319,1:44.81,,Paul ANSELMINI,02 AUG 2003,FRA,5f1,,"Estadio Vallehermoso, Madrid (ESP)",2024-06-21,1179,2024,104.81
2341,1:44.82,,Paul ERENG,22 AUG 1967,KEN,2,,Kvarnsveden (SWE),1988-06-19,1179,1988,104.82
2341,1:44.82,,Dieudonné KWIZERA,06 JUN 1967,BDI,1f2,,Koblenz (GER),1988-08-28,1179,1988,104.82
2341,1:44.82,,Wilson KIPKETER,12 DEC 1972,KEN,2,,Bruxelles (BEL),1994-08-19,1179,1994,104.82
2341,1:44.82,,David MATTHEWS,09 APR 1974,IRL,3,,Rieti (ITA),1995-09-05,1179,1995,104.82
2341,1:44.82,,Fred ONYANCHA,25 DEC 1969,KEN,7,,Monaco (MON),1996-08-10,1179,1996,104.82
2341,1:44.82,,Nico MOTCHEBON,13 NOV 1969,GER,8,,Monaco (MON),1996-08-10,1179,1996,104.82
2341,1:44.82,,Norberto TÉLLEZ,23 DEC 1972,CUB,1qf2,,"Olympic Stadium, Athina (GRE)",1997-08-05,1179,1997,104.82
2341,1:44.82,,Fred ONYANCHA,25 DEC 1969,KEN,7,,Köln (GER),1997-08-24,1179,1997,104.82
2341,1:44.82,,Mehdi BAALA,17 AUG 1978,FRA,3,,Stockholm (SWE) (i),2003-02-18,1237,2003,104.82
2341,1:44.82,,Florent LACASSE,21 JAN 1981,FRA,1,,Torino (ITA),2004-06-04,1179,2004,104.82
2341,1:44.82,,Gary REED,25 OCT 1981,CAN,1,,"Eugene, OR (USA)",2005-06-04,1179,2005,104.82
2341,1:44.82,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,2,,Villeneuve d'Ascq (FRA),2005-06-12,1179,2005,104.82
2341,1:44.82,,Yusuf Saad KAMEL,29 MAR 1983,BRN,4,,"Stade de France, Paris-St-Denis (FRA)",2006-07-08,1179,2006,104.82
2341,1:44.82,,Ismail Ahmed ISMAIL,10 SEP 1984,SUD,3f1,,Doha (QAT),2008-05-09,1179,2008,104.82
2341,1:44.82,,Alfred Kirwa YEGO,28 NOV 1986,KEN,3,,"National Stadium, Beijing (CHN)",2008-08-23,1179,2008,104.82
2341,1:44.82,,Abubaker KAKI,21 JUN 1989,SUD,1,,Rabat (MAR),2009-05-23,1179,2009,104.82
2341,1:44.82,,Alfred Kirwa YEGO,28 NOV 1986,KEN,4sf1,,"DS, Daegu (KOR)",2011-08-28,1179,2011,104.82
2341,1:44.82,,Artur OSTROWSKI,10 JUL 1988,POL,1,,Königs Wusterhausen (GER),2011-09-09,1179,2011,104.82
2341,1:44.82,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",2014-05-09,1179,2014,104.82
2341,1:44.82,,Adam KSZCZOT,02 SEP 1989,POL,1f1,,"Stadio Guidobaldi, Rieti (ITA)",2015-09-13,1179,2015,104.82
2341,1:44.82,,Erik SOWINSKI,21 DEC 1989,USA,4,,"Olympic Stadium, London (GBR)",2017-07-09,1179,2017,104.82
2341,1:44.82,,Ryan SÁNCHEZ,22 SEP 1998,PUR,1,,Ponce (PUR),2019-04-27,1179,2019,104.82
2341,1:44.82,,Abubaker Haydar ABDALLA,28 AUG 1996,QAT,4,,"Khalifa International Stadium, Doha (QAT)",2019-05-03,1179,2019,104.82
2341,1:44.82,,Tony VAN DIEPEN,17 APR 1996,NED,4,,"Mestský Stadion, Ostrava (CZE)",2020-09-08,1179,2020,104.82
2341,1:44.82,,Ferguson Cheruiyot ROTICH,30 NOV 1989,KEN,1,,"Stadio Quercia, Rovereto (ITA)",2020-09-08,1179,2020,104.82
2341,1:44.82,,Javier MIRON,13 DEC 1999,ESP,4f1,,"Stade Delort, Marseille (FRA)",2021-06-09,1179,2021,104.82
2341,1:44.82,,Neil GOURLEY,07 FEB 1995,GBR,2f1,,"TSV Stadion, Pfungstadt (GER)",2022-06-18,1179,2022,104.82
2341,1:44.82,,Jakub DUDYCHA,05 SEP 2005,CZE,4,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",2024-06-20,1179,2024,104.82
2369,1:44.83,,Garry COOK,10 JAN 1958,GBR,2,,Koblenz (GER),1982-08-25,1179,1982,104.83
2369,1:44.83,,James MAINA BOI,04 APR 1954,KEN,1,,Fürth (GER),1983-05-21,1179,1983,104.83
2369,1:44.83,,Harald SCHMID,29 SEP 1957,FRG,4f1,,Koblenz (GER),1987-08-13,1179,1987,104.83
2369,1:44.83,,Faouzi LAHBI,02 MAR 1958,MAR,5,,"Stadio Olimpico, Roma (ITA)",1987-09-01,1179,1987,104.83
2369,1:44.83,,Johnny GRAY,19 JUN 1960,USA,3,,"New York, NY (USA)",1991-06-15,1179,1991,104.83
2369,1:44.83,,Ocky CLARK,14 NOV 1960,USA,2,,Vigo (ESP),1991-07-23,1179,1991,104.83
2369,1:44.83,,Ocky CLARK,14 NOV 1960,USA,2f1,,Vigo (ESP),1991-07-23,1179,1991,104.83
2369,1:44.83,,Giuseppe D'URSO,15 SEP 1969,ITA,1sf2,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",1993-08-15,1179,1993,104.83
2369,1:44.83,,Fred ONYANCHA,25 DEC 1969,KEN,7,,"Stade Louis II, Monaco (MON)",1995-07-25,1179,1995,104.83
2369,1:44.83,,Japheth KIMUTAI,20 DEC 1978,KEN,5f1,,"Bislett Stadion, Oslo (NOR)",1998-07-09,1179,1998,104.83
2369,1:44.83,,Wilfred BUNGEI,24 JUL 1980,KEN,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2001-07-04,1179,2001,104.83
2369,1:44.83,,David KRUMMENACKER,24 MAY 1975,USA,1,,"Stade de France, Paris-St-Denis (FRA)",2002-07-05,1179,2002,104.83
2369,1:44.83,,Antonio Manuel REINA,13 JUN 1981,ESP,5,,Sevilla (ESP),2003-06-07,1179,2003,104.83
2369,1:44.83,,Joseph Mwengi MUTUA,10 DEC 1978,KEN,7f1,,Zürich (SUI),2003-08-15,1179,2003,104.83
2369,1:44.83,,Andrea LONGO,26 JUN 1975,ITA,5f2,,Zürich (SUI),2004-08-06,1179,2004,104.83
2369,1:44.83,,Mohammed Obaid AL SALHI,11 MAY 1986,KSA,4,,"Bislett Stadion, Oslo (NOR)",2008-06-06,1179,2008,104.83
2369,1:44.83,,Nadjim MANSEUR,08 JUN 1988,ALG,3f1,,Heusden-Zolder (BEL),2008-07-20,1179,2008,104.83
2369,1:44.83,,Yusuf Saad KAMEL,29 MAR 1983,BRN,5f1,,Rieti (ITA),2009-09-06,1179,2009,104.83
2369,1:44.83,,Tyler MULDER,15 FEB 1987,USA,2f1,,"Los Angeles, CA (USA)",2011-05-21,1179,2011,104.83
2369,1:44.83,,Tyler MULDER,15 FEB 1987,USA,3f1,,Barcelona (ESP),2011-07-22,1179,2011,104.83
2369,1:44.83,,Abubaker KAKI,21 JUN 1989,SUD,1h3,,"DS, Daegu (KOR)",2011-08-27,1179,2011,104.83
2369,1:44.83,,Boaz Kiplagat LALANG,08 FEB 1989,KEN,4,,"Icahn Stadium, New York, NY (USA)",2012-06-09,1179,2012,104.83
2369,1:44.83,,Musaeb Abdulrahman BALLA,19 MAR 1989,QAT,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",2013-05-10,1179,2013,104.83
2369,1:44.83,,Kyle LANGFORD,02 FEB 1996,GBR,5,,"Stade Louis II, Monaco (MON)",2020-08-14,1179,2020,104.83
2369,1:44.83,,Catalin TECUCEANU,09 SEP 1999,ITA,4h5,,"Hayward Field, Eugene, OR (USA)",2022-07-20,1179,2022,104.83
2369,1:44.83,,Gabriel TUAL,09 APR 1998,FRA,5sf2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-24,1179,2023,104.83
2369,1:44.83,,Ben PATTISON,15 DEC 2001,GBR,3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-26,1179,2023,104.83
2369,1:44.83,,Noah KIBET,12 APR 2004,KEN,6,,"Drake Stadium, Los Angeles, CA (USA)",2024-05-18,1179,2024,104.83
2369,1:44.83,,Ryan CLARKE,17 NOV 1997,NED,2,,"Bislett Stadion, Oslo (NOR)",2024-05-30,1179,2024,104.83
2369,1:44.83,,Laban CHEPKWONY,14 APR 1996,KEN,6,,"Nyayo National Stadium, Nairobi (KEN)",2024-06-15,1179,2024,104.83
2399,1:44.84,,Mark ENYEART,09 OCT 1953,USA,2,,Köln (GER),1977-06-22,1178,1977,104.84
2399,1:44.84,,Harald SCHMID,29 SEP 1957,FRG,3f2,,Zürich (SUI),1979-08-15,1178,1979,104.84
2399,1:44.84,,Joaquim CRUZ,12 MAR 1963,BRA,1qf3,,"Memorial Coliseum, Los Angeles, CA (USA)",1984-08-04,1178,1984,104.84
2399,1:44.84,,Stephen Ole MARAI,11 NOV 1962,KEN,6,,"Stadio Olimpico, Roma (ITA)",1987-09-01,1178,1987,104.84
2399,1:44.84,,Paul ERENG,22 AUG 1967,KEN,1,,"Budapest Sportcsarnok, Budapest (HUN) (i)",1989-03-04,1236,1989,104.84
2399,1:44.84,,Tom MCKEAN,27 OCT 1963,GBR,3,,Bruxelles (BEL),1989-08-25,1178,1989,104.84
2399,1:44.84,,George KERSH,03 JUL 1968,USA,2f1,,Oslo (NOR),1990-07-14,1178,1990,104.84
2399,1:44.84,,George KERSH,03 JUL 1968,USA,1,,Köln (GER),1990-08-19,1178,1990,104.84
2399,1:44.84,,José Luis BARBOSA,27 MAY 1961,BRA,1,,Koblenz (GER),1990-09-04,1178,1990,104.84
2399,1:44.84,,José Luis BARBOSA,27 MAY 1961,BRA,1,,Bruxelles (BEL),1991-09-13,1178,1991,104.84
2399,1:44.84,,Johnny GRAY,19 JUN 1960,USA,1,,San José (USA),1992-05-30,1178,1992,104.84
2399,1:44.84,,Anatoliy MAKAREVICH,19 MAY 1970,BLR,2,,Koblenz (GER),1992-08-26,1178,1992,104.84
2399,1:44.84,,Marko KOERS,03 NOV 1972,NED,3,,Oslo (NOR),1993-07-10,1178,1993,104.84
2399,1:44.84,,Luis Javier GONZÁLEZ,17 JUN 1969,ESP,3,,Salamanca (ESP),1993-07-27,1178,1993,104.84
2399,1:44.84,,Sammy Kibet LANGAT,24 JAN 1970,KEN,6,,"Bislett Stadion, Oslo (NOR)",1994-07-22,1178,1994,104.84
2399,1:44.84,,Arthémon HATUNGIMANA,21 JAN 1974,BDI,4,,Nice (FRA),1996-07-10,1178,1996,104.84
2399,1:44.84,,Amar HACINI,18 NOV 1971,ALG,8,,Rieti (ITA),1996-09-01,1178,1996,104.84
2399,1:44.84,,Lukáš VYDRA,23 AUG 1973,CZE,6f1,,Zürich (SUI),1998-08-12,1178,1998,104.84
2399,1:44.84,,Johan BOTHA,10 JAN 1974,RSA,1,,"FBK Stadium, Hengelo (NED)",1999-05-30,1178,1999,104.84
2399,1:44.84,,Vebjørn RODAL,16 SEP 1972,NOR,3f1,,"Bislett Stadion, Oslo (NOR)",2000-07-28,1178,2000,104.84
2399,1:44.84,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,"Stade de France, Paris-St-Denis (FRA)",2003-08-31,1178,2003,104.84
2399,1:44.84,,Wilfred BUNGEI,24 JUL 1980,KEN,1h4,,"Olympic Stadium, Athina (GRE)",2004-08-25,1178,2004,104.84
2399,1:44.84,,Eugenio BARRIOS,03 NOV 1976,ESP,3f2,,Rieti (ITA),2006-08-27,1178,2006,104.84
2399,1:44.84,,Abraham CHEPKIRWOK,18 NOV 1988,UGA,3sf1,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-31,1178,2007,104.84
2399,1:44.84,,Kléberson DAVIDE,20 JUL 1985,BRA,1f1,,São Paulo (BRA),2013-03-27,1178,2013,104.84
2399,1:44.84,,Mark ENGLISH,18 MAR 1993,IRL,6,,"Olympic Stadium, London (GBR)",2013-07-26,1178,2013,104.84
2399,1:44.84,,Adam KSZCZOT,02 SEP 1989,POL,7,,"Letzigrund, Zürich (SUI)",2014-08-28,1178,2014,104.84
2399,1:44.84,,Erik SOWINSKI,21 DEC 1989,USA,2,,"Hayward Field, Eugene, OR (USA)",2015-06-28,1178,2015,104.84
2399,1:44.84,,Amel TUKA,09 JAN 1991,BIH,1sf3,,"National Stadium, Beijing (CHN)",2015-08-23,1178,2015,104.84
2399,1:44.84,,Willy Kiplimo TARBEI,30 MAY 1998,KEN,1f1,,Herzogenaurach (GER),2016-05-14,1178,2016,104.84
2399,1:44.84,,Adam KSZCZOT,02 SEP 1989,POL,3,,"Boudewijnstadion, Bruxelles (BEL)",2017-09-01,1178,2017,104.84
2399,1:44.84,,Devin DIXON,22 SEP 1997,USA,2,,"Austin, TX (USA)",2019-06-07,1178,2019,104.84
2399,1:44.84,,Abdelati EL GUESSE,27 FEB 1993,MAR,4h1,,"National Stadium, Tokyo (JPN)",2021-07-31,1178,2021,104.84
2399,1:44.84,,Eliott CRESTAN,22 FEB 1999,BEL,4sf1,,"National Stadium, Tokyo (JPN)",2021-08-01,1178,2021,104.84
2399,1:44.84,,Kacper LEWALSKI,07 MAY 2003,POL,2,,"Stadion Śląski, Chorzów (POL)",2021-09-05,1178,2021,104.84
2399,1:44.84,,Nicholas Kiplangat KEBENEI,07 JUN 1995,KEN,6,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2022-06-25,1178,2022,104.84
2399,1:44.84,,Saúl ORDÓÑEZ,10 APR 1994,ESP,8,,"Boudewijnstadion, Bruxelles (BEL)",2023-09-08,1178,2023,104.84
2436,1:44.85,,David PATRICK,12 JUN 1960,USA,1,,"Knoxville, TN (USA)",1983-05-21,1178,1983,104.85
2436,1:44.85,,James ROBINSON,27 AUG 1954,USA,1,,Gateshead (GBR),1984-07-06,1178,1984,104.85
2436,1:44.85,,Slobodan POPOVIĆ,28 SEP 1962,YUG,1,,Sarajevo (BIH),1988-09-04,1178,1988,104.85
2436,1:44.85,,Noureddine MORCELI,28 FEB 1970,ALG,1,,Neubrandenburg (GER),1991-06-21,1178,1991,104.85
2436,1:44.85,,William TANUI,22 FEB 1964,KEN,1,,Luzern (SUI),1991-07-06,1178,1991,104.85
2436,1:44.85,,Andrea GIOCONDI,17 JAN 1969,ITA,1f1,,"Stadio Olimpico, Roma (ITA)",1995-06-08,1178,1995,104.85
2436,1:44.85,,Robert CHIRCHIR,26 NOV 1972,KEN,2,,"FBK Stadium, Hengelo (NED)",1997-05-31,1178,1997,104.85
2436,1:44.85,,Marko KOERS,03 NOV 1972,NED,6,,"Olympic Stadium, Athina (GRE)",1997-08-08,1178,1997,104.85
2436,1:44.85,,Norberto TÉLLEZ,23 DEC 1972,CUB,1,,Sevilla (ESP),1999-05-28,1178,1999,104.85
2436,1:44.85,,William CHIRCHIR,06 FEB 1979,KEN,3,,"Crystal Palace, London (GBR)",1999-08-07,1178,1999,104.85
2436,1:44.85,,Johan BOTHA,10 JAN 1974,RSA,4f2,,Zürich (SUI),2000-08-11,1178,2000,104.85
2436,1:44.85,,Hezekiel SEPENG,30 JUN 1974,RSA,4sf1,,"Olympic Stadium, Sydney (AUS)",2000-09-25,1178,2000,104.85
2436,1:44.85,,Noah NGENY,02 NOV 1978,KEN,4,,Milano (ITA),2001-06-06,1178,2001,104.85
2436,1:44.85,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2002-07-02,1178,2002,104.85
2436,1:44.85,,Michael ROTICH,14 JUL 1978,KEN,3,,Trikala (GRE),2003-06-24,1178,2003,104.85
2436,1:44.85,,Hezekiel SEPENG,30 JUN 1974,RSA,1,,Rieti (ITA),2003-09-07,1178,2003,104.85
2436,1:44.85,,Wilfred BUNGEI,24 JUL 1980,KEN,1f1,,Doha (QAT),2006-05-12,1178,2006,104.85
2436,1:44.85,,Amine LAALOU,13 MAY 1982,MAR,1f1,,Barcelona (ESP),2008-07-19,1178,2008,104.85
2436,1:44.85,,David RUDISHA,17 DEC 1988,KEN,1,,Thessaloniki (GRE),2009-09-12,1178,2009,104.85
2436,1:44.85,,Alfred Kirwa YEGO,28 NOV 1986,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",2010-07-30,1178,2010,104.85
2436,1:44.85,,Brandon JOHNSON,02 MAR 1985,USA,1f1,,"Los Angeles, CA (USA)",2013-05-17,1178,2013,104.85
2436,1:44.85,,Andrew OSAGIE,19 FEB 1988,GBR,3sf1,,"Luzhniki Stadion, Moskva (RUS)",2013-08-11,1178,2013,104.85
2436,1:44.85,,André OLIVIER,29 DEC 1989,RSA,3,,"Shanghai Stadium, Shanghai (CHN)",2014-05-18,1178,2014,104.85
2436,1:44.85,,Jeremiah Kipkorir MUTAI,27 DEC 1992,KEN,4,,"Shanghai Stadium, Shanghai (CHN)",2014-05-18,1178,2014,104.85
