Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Unnamed: 7,Venue,Date,Results Score,Year,Mark_Sec
1759,1:58.83,,Yelena AFANASYEVA,01 MAR 1967,RUS,1,,Athina (GRE),1998-06-17,1183,1998,118.83
1759,1:58.83,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"New York, NY (USA)",1998-07-19,1183,1998,118.83
1759,1:58.83,,Irina MISTYUKEVICH,17 JUN 1977,RUS,1,,"Stadion Rošický, Praha (CZE)",1999-06-14,1183,1999,118.83
1759,1:58.83,,Natalya DUKHNOVA,16 JUL 1966,BLR,1,,Staiki (BLR),1999-08-04,1183,1999,118.83
1759,1:58.83,,Claudia GESELL,18 DEC 1977,GER,6,,Zürich (SUI),2000-08-11,1183,2000,118.83
1759,1:58.83,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Liévin (FRA) (i),2002-02-24,1205,2002,118.83
1759,1:58.83,,Nicole TETER,08 NOV 1973,USA,1,,"Palo Alto, CA (USA)",2002-06-23,1183,2002,118.83
1759,1:58.83,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Gent (BEL) (i),2003-02-09,1205,2003,118.83
1759,1:58.83,,Nicole TETER,08 NOV 1973,USA,1,,"Palo Alto, CA (USA)",2004-05-31,1183,2004,118.83
1759,1:58.83,,Yelena KOFANOVA,08 AUG 1988,RUS,1,,Villeneuve d'Ascq (FRA),2010-08-24,1183,2010,118.83
1759,1:58.83,,Pamela JELIMO,05 DEC 1989,KEN,1,,"Ataköy Arena, Istanbul (TUR) (i)",2012-03-11,1205,2012,118.83
1759,1:58.83,,Yelena KOFANOVA,08 AUG 1988,RUS,2f2,,Moskva (RUS),2012-06-13,1183,2012,118.83
1759,1:58.83,,Ajee' WILSON,08 MAY 1994,USA,1,,"Icahn Stadium, New York, NY (USA)",2015-06-13,1183,2015,118.83
1759,1:58.83,,Rénelle LAMOTE,26 DEC 1993,FRA,9,,"Stade Louis II, Monaco (MON)",2018-07-20,1183,2018,118.83
1759,1:58.83,,Ajee' WILSON,08 MAY 1994,USA,3,,"Khalifa International Stadium, Doha (QAT)",2019-05-03,1183,2019,118.83
1759,1:58.83,,Winnie NANYONDO,23 AUG 1993,UGA,3,,"Stade Charléty, Paris (FRA)",2019-08-24,1183,2019,118.83
1759,1:58.83,,Alexandra BELL,04 NOV 1992,GBR,3sf2,,"National Stadium, Tokyo (JPN)",2021-07-31,1183,2021,118.83
1759,1:58.83,,Diribe WELTEJI,13 MAY 2002,ETH,1h1,,"Hayward Field, Eugene, OR (USA)",2022-07-21,1183,2022,118.83
1759,1:58.83,,Olivia BAKER,12 JUN 1996,USA,2,,"Stadio Quercia, Rovereto (ITA)",2022-08-30,1183,2022,118.83
1759,1:58.83,,Mary MORAA,15 JUN 2000,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",2023-05-13,1183,2023,118.83
1786,1:58.84,,Jolanta JANUCHTA,16 JAN 1955,POL,3sf2,,"Lenin Stadium, Moskva (URS)",1980-07-25,1183,1980,118.84
1786,1:58.84,,Tatyana KAZANKINA,17 DEC 1951,URS,,,Sochi (URS),1984-06-10,1183,1984,118.84
1786,1:58.84,,Katrin WÜHN,19 NOV 1965,GDR,3,,Zürich (SUI),1984-08-22,1183,1984,118.84
1786,1:58.84,,Marina YACHMENEVA,14 JUL 1961,URS,2h1,,Kiev (URS),1988-07-30,1183,1988,118.84
1786,1:58.84,,Laimutė BAIKAUSKAITĖ,10 JUN 1956,URS,4,,Moskva (URS),1988-09-04,1183,1988,118.84
1786,1:58.84,,Slobodanka ČOLOVIĆ,10 JAN 1965,YUG,3,,Celje (SLO),1989-06-16,1183,1989,118.84
1786,1:58.84,,Natalya DUKHNOVA,16 JUL 1966,BLR,4,,Köln (GER),1994-08-21,1183,1994,118.84
1786,1:58.84,,Natalya TSYGANOVA,07 FEB 1971,RUS,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2001-07-04,1183,2001,118.84
1786,1:58.84,,Svetlana CHERKASOVA,20 MAY 1978,RUS,1,,Moskva (RUS),2002-06-29,1183,2002,118.84
1786,1:58.84,,Olga RASPOPOVA,27 DEC 1978,RUS,1,,Cheboksary (RUS),2002-07-14,1183,2002,118.84
1786,1:58.84,,Jearl MILES-CLARK,04 SEP 1966,USA,1,,"Palo Alto, CA (USA)",2003-06-22,1183,2003,118.84
1786,1:58.84,,Oksana ZBROZHEK,12 JAN 1978,RUS,1,,"Stadion Juliska, Praha (CZE)",2007-06-13,1183,2007,118.84
1786,1:58.84,,Natalya IGNATOVA,06 MAY 1981,RUS,1,,Moskva (RUS) (i),2008-02-09,1205,2008,118.84
1786,1:58.84,,Olga KOTLYAROVA,12 APR 1976,RUS,2h2,,Kazan (RUS),2008-07-17,1183,2008,118.84
1786,1:58.84,,Anna ROSTKOWSKA,26 JUL 1980,POL,5sf2,,"National Stadium, Beijing (CHN)",2008-08-16,1183,2008,118.84
1786,1:58.84,,Alysia MONTAÑO,23 APR 1986,USA,5,,"Hayward Field, Eugene, OR (USA)",2010-07-03,1183,2010,118.84
1786,1:58.84,,Halima HACHLAF,06 SEP 1988,MAR,4sf2,,"Olympic Stadium, London (GBR)",2012-08-09,1183,2012,118.84
1786,1:58.84,,Eunice Jepkoech SUM,10 APR 1988,KEN,1,,"Olympiastadion, Stockholm (SWE)",2013-08-22,1183,2013,118.84
1786,1:58.84,,Brenda MARTINEZ,08 SEP 1987,USA,1,,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1183,2014,118.84
1786,1:58.84,,Sahily DIAGO MESA,26 AUG 1995,CUB,1,,Puebla (MEX),2016-04-17,1183,2016,118.84
1786,1:58.84,,Rénelle LAMOTE,26 DEC 1993,FRA,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2016-05-22,1183,2016,118.84
1786,1:58.84,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,8,,"Letzigrund, Zürich (SUI)",2016-09-01,1183,2016,118.84
1786,1:58.84,,Rababe ARAFI,12 JAN 1991,MAR,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2018-07-13,1183,2018,118.84
1786,1:58.84,,Raevyn ROGERS,07 SEP 1996,USA,3,,"Drake Stadium, Des Moines, IA (USA)",2019-07-28,1183,2019,118.84
1786,1:58.84,,Ajee' WILSON,08 MAY 1994,USA,3,,"Khalifa International Stadium, Doha (QAT)",2019-09-30,1183,2019,118.84
1786,1:58.84,,Laura MUIR,09 MAY 1993,GBR,1,,"Mestský Stadion, Ostrava (CZE)",2020-09-08,1183,2020,118.84
1786,1:58.84,,Laura MUIR,09 MAY 1993,GBR,2h2,,"Alexander Stadium, Birmingham (GBR)",2022-08-02,1183,2022,118.84
1786,1:58.84,,Athing MU,08 JUN 2002,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",2024-06-23,1183,2024,118.84
1814,1:58.85,,Slobodanka ČOLOVIĆ,10 JAN 1965,YUG,5sf1,,"Stadio Olimpico, Roma (ITA)",1987-08-30,1183,1987,118.85
1814,1:58.85,,Doina MELINTE,27 DEC 1956,ROU,1,,Rieti (ITA),1987-09-08,1183,1987,118.85
1814,1:58.85,,Lyudmila DEREVYANKINA,15 JUN 1966,URS,3h1,,Kiev (URS),1988-07-30,1183,1988,118.85
1814,1:58.85,,Kim GALLAGHER,11 JUN 1964,USA,2f1,,"Letzigrund, Zürich (SUI)",1988-08-17,1183,1988,118.85
1814,1:58.85,,Maite ZÚÑIGA,28 DEC 1964,ESP,4sf1,,"Olympic Stadium, Jamsil, Seoul (KOR)",1988-09-25,1183,1988,118.85
1814,1:58.85,,Liliya NURUTDINOVA,15 DEC 1963,URS,1,,Sochi (URS),1990-05-26,1183,1990,118.85
1814,1:58.85,,Zelda PRETORIUS,18 JUL 1968,RSA,1,,Pretoria (RSA),1991-04-01,1183,1991,118.85
1814,1:58.85,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,2,,Gent (BEL) (i),2001-02-23,1205,2001,118.85
1814,1:58.85,,Kelly HOLMES,19 APR 1970,GBR,2,,"Crystal Palace, London (GBR)",2001-07-22,1183,2001,118.85
1814,1:58.85,,Diane CUMMINS,19 JAN 1974,CAN,2,,"International Stadium, Gateshead (GBR)",2001-08-19,1183,2001,118.85
1814,1:58.85,,Svetlana CHERKASOVA,20 MAY 1978,RUS,5,,Rieti (ITA),2006-08-27,1183,2006,118.85
1814,1:58.85,,Janeth JEPKOSGEI,13 DEC 1983,KEN,2,,"Boudewijnstadion, Bruxelles (BEL)",2008-09-05,1183,2008,118.85
1814,1:58.85,,Kenia SINCLAIR,14 JUL 1980,JAM,4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2008-09-14,1183,2008,118.85
1814,1:58.85,,Janeth JEPKOSGEI,13 DEC 1983,KEN,2,,"Stadio Olimpico, Roma (ITA)",2010-06-10,1183,2010,118.85
1814,1:58.85,,Yvonne HAK,30 JUN 1986,NED,1,,"Estadio Olímpico, Barcelona (ESP)",2010-07-30,1183,2010,118.85
1814,1:58.85,,Natoya GOULE,30 MAR 1991,JAM,1,,Kingston (JAM),2018-06-22,1183,2018,118.85
1814,1:58.85,,Halimah NAKAAYI,16 OCT 1994,UGA,4,,"Olympiastadion, Stockholm (SWE)",2022-06-30,1183,2022,118.85
1831,1:58.86,,Tatyana SAMOLENKO,12 AUG 1961,URS,1,,Portsmouth (GBR),1988-06-19,1183,1988,118.86
1831,1:58.86,,Christine WACHTEL,06 JAN 1965,GDR,2,,Potsdam (GDR),1988-09-08,1183,1988,118.86
1831,1:58.86,,Zelda PRETORIUS,18 JUL 1968,RSA,1,,Port Elizabeth (RSA),1991-03-04,1183,1991,118.86
1831,1:58.86,,Ellen VAN LANGEN,09 FEB 1966,NED,4sf2,,"Ullevi Stadium, Göteborg (SWE)",1995-08-11,1183,1995,118.86
1831,1:58.86,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,St-Denis (FRA),1996-06-03,1183,1996,118.86
1831,1:58.86,,Jearl MILES-CLARK,04 SEP 1966,USA,4,,Stockholm (SWE),1997-07-07,1183,1997,118.86
1831,1:58.86,,Kelly HOLMES,19 APR 1970,GBR,1,,Budapest (HUN),1999-07-03,1183,1999,118.86
1831,1:58.86,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1sf1,,"Olympic Stadium, Sydney (AUS)",2000-09-23,1183,2000,118.86
1831,1:58.86,,Stephanie GRAF,26 APR 1973,AUT,1,,Linz (AUT),2001-08-20,1183,2001,118.86
1831,1:58.86,,Mayte MARTÍNEZ,17 MAY 1976,ESP,2,,"Olympiastadion, München (GER)",2002-08-08,1183,2002,118.86
1831,1:58.86,,Kelly HOLMES,19 APR 1970,GBR,2sf2,,"Stade de France, Paris-St-Denis (FRA)",2003-08-24,1183,2003,118.86
1831,1:58.86,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Eugene, OR (USA)",2006-05-28,1183,2006,118.86
1831,1:58.86,,Maggie VESSEY,23 DEC 1981,USA,2,,"Hayward Field, Eugene, OR (USA)",2011-06-26,1183,2011,118.86
1831,1:58.86,,Shelayna OSKAN-CLARKE,20 JAN 1990,GBR,1sf2,,"National Stadium, Beijing (CHN)",2015-08-27,1183,2015,118.86
1831,1:58.86,,Rénelle LAMOTE,26 DEC 1993,FRA,2sf2,,"National Stadium, Beijing (CHN)",2015-08-27,1183,2015,118.86
1846,1:58.87,,Nikolina SHTEREVA,21 JAN 1955,BUL,4sf1,,"Lenin Stadium, Moskva (URS)",1980-07-25,1183,1980,118.87
1846,1:58.87,,Lyubov KIRYUKHINA,19 MAY 1963,URS,5,,Moskva (URS),1984-07-19,1183,1984,118.87
1846,1:58.87,,Kelly HOLMES,19 APR 1970,GBR,1,,Ljubljana (SLO),1996-05-26,1183,1996,118.87
1846,1:58.87,,Marina ARZAMASOVA,17 DEC 1987,BLR,4sf3,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1183,2016,118.87
1846,1:58.87,,Jemma REEKIE,06 MAR 1998,GBR,4,,"Stadio Comunale, Bellinzona (SUI)",2020-09-15,1183,2020,118.87
1846,1:58.87,,Prudence SEKGODISO,05 JAN 2002,RSA,2,,"Paavo Nurmen Stadion, Turku (FIN)",2023-06-13,1183,2023,118.87
1852,1:58.88,,Lyubov GURINA,06 AUG 1957,URS,2,,Cork (IRL),1984-07-03,1182,1984,118.88
1852,1:58.88,,Roswitha GERDES,28 JUN 1961,FRG,4,,Zürich (SUI),1984-08-22,1182,1984,118.88
1852,1:58.88,,Sigrun WODARS,07 NOV 1965,GDR,2,,Rieti (ITA),1987-09-08,1182,1987,118.88
1852,1:58.88,,Sigrun WODARS,07 NOV 1965,GDR,1,,Berlin (GER),1988-06-29,1182,1988,118.88
1852,1:58.88,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Duisburg (GER),1989-08-30,1182,1989,118.88
1852,1:58.88,,Yelena AFANASYEVA,01 MAR 1967,RUS,2,,"Stadio Olimpico, Roma (ITA)",1993-06-09,1182,1993,118.88
1852,1:58.88,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,6,,"Stade Louis II, Monaco (MON)",1997-08-16,1182,1997,118.88
1852,1:58.88,,Natalya TSYGANOVA,07 FEB 1971,RUS,4f1,,Oslo (NOR),1999-06-30,1182,1999,118.88
1852,1:58.88,,Kenia SINCLAIR,14 JUL 1980,JAM,3f1,,"Stadio Olimpico, Roma (ITA)",2005-07-08,1182,2005,118.88
1852,1:58.88,,Jennifer MEADOWS,17 APR 1981,GBR,3,,"Poljud Stadion, Split (CRO)",2010-09-04,1182,2010,118.88
1852,1:58.88,,Caster SEMENYA,07 JAN 1991,RSA,2,,"Hayward Field, Eugene, OR (USA)",2011-06-04,1182,2011,118.88
1852,1:58.88,,Marina ARZAMASOVA,17 DEC 1987,BLR,3,,"Olympiastadion, Berlin (GER)",2015-09-06,1182,2015,118.88
1864,1:58.89,,Milena STRNADOVÁ,23 MAY 1961,TCH,1,,Praha (TCH),1983-06-23,1182,1983,118.89
1864,1:58.89,,Milena STRNADOVÁ,23 MAY 1961,TCH,5,,"Neckarstadion, Stuttgart (GER)",1986-08-28,1182,1986,118.89
1864,1:58.89,,Christine WACHTEL,06 JAN 1965,GDR,1h2,,Potsdam (GDR),1987-08-20,1182,1987,118.89
1864,1:58.89,,Svetlana MASTERKOVA,17 JAN 1968,RUS,3,,"Stadio Olimpico, Roma (ITA)",1997-06-05,1182,1997,118.89
1864,1:58.89,,Diane CUMMINS,19 JAN 1974,CAN,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2003-07-01,1182,2003,118.89
1864,1:58.89,,Lucia KLOCOVÁ,20 NOV 1983,SVK,2,,"Bislett Stadion, Oslo (NOR)",2008-06-06,1182,2008,118.89
1864,1:58.89,,Jennifer MEADOWS,17 APR 1981,GBR,3,,"Stadio Olimpico, Roma (ITA)",2010-06-10,1182,2010,118.89
1864,1:58.89,,Anna WILLARD,31 MAR 1984,USA,3,,"Stade Louis II, Monaco (MON)",2010-07-22,1182,2010,118.89
1864,1:58.89,,Keely HODGKINSON,03 MAR 2002,GBR,1f1,,"Mestský Stadion, Ostrava (CZE)",2021-05-19,1182,2021,118.89
1864,1:58.89,,Halimah NAKAAYI,16 OCT 1994,UGA,5,,"Letzigrund, Zürich (SUI)",2021-09-09,1182,2021,118.89
1864,1:58.89,,Natoya GOULE-TOPPIN,30 MAR 1991,JAM,1,,"National Stadium, Kingston (JAM)",2023-07-09,1182,2023,118.89
1864,1:58.89,,Halimah NAKAAYI,16 OCT 1994,UGA,3sf3,,"Nemzeti Atlétikai Központ, Budapest (HUN)",2023-08-25,1182,2023,118.89
1864,1:58.89,,Michaela ROSE,13 JUN 2003,USA,1,,"Percy Beard Track, Gainesville, FL (USA)",2024-05-11,1182,2024,118.89
1864,1:58.89,,Rose Mary ALMANZA,13 JUL 1992,CUB,1f1,,"Stade Omnisports Schlossberg, Forbach (FRA)",2024-05-26,1182,2024,118.89
1878,1:58.90,,Anna BUKIS,08 SEP 1953,POL,4h3,,"Lenin Stadium, Moskva (URS)",1980-07-24,1182,1980,118.9
1878,1:58.90,,Sandra GASSER,27 JUL 1962,SUI,7f1,,"Olympiastadion, Berlin (GER)",1987-08-21,1182,1987,118.9
1878,1:58.90,,Christine WACHTEL,06 JAN 1965,GER,6,,"National Stadium, Tokyo (JPN)",1991-08-26,1182,1991,118.9
1878,1:58.90,,Stella JONGMANS,17 MAY 1971,NED,3,,Paris (FRA),1996-06-28,1182,1996,118.9
1878,1:58.90,,Lyubov GURINA,06 AUG 1957,RUS,2,,Tula (RUS),1997-07-08,1182,1997,118.9
1878,1:58.90,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Eugene, OR (USA)",2001-05-27,1182,2001,118.9
1878,1:58.90,,Olga RASPOPOVA,27 DEC 1978,RUS,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2001-07-04,1182,2001,118.9
1878,1:58.90,,Irina MISTYUKEVICH,17 JUN 1977,RUS,1,,Tula (RUS),2002-06-09,1182,2002,118.9
1878,1:58.90,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"Olimpiyskiy Stadion, Moskva (RUS) (i)",2006-03-12,1204,2006,118.9
1878,1:58.90,,Elisa CUSMA,24 JUL 1981,ITA,6,,Rieti (ITA),2006-08-27,1182,2006,118.9
1878,1:58.90,,Yekaterina KOSTETSKAYA,31 DEC 1986,RUS,2f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2008-09-02,1182,2008,118.9
1878,1:58.90,,Jennifer MEADOWS,17 APR 1981,GBR,1h2,,"Estadio Olímpico, Barcelona (ESP)",2010-07-27,1182,2010,118.9
1878,1:58.90,,Rababe ARAFI,12 JAN 1991,MAR,4,,"National Stadium, Beijing (CHN)",2015-08-29,1182,2015,118.9
1878,1:58.90,,Melissa BISHOP-NRIAGU,05 AUG 1988,CAN,1f4,,Victoria (CAN),2016-06-19,1182,2016,118.9
1878,1:58.90,,Caster SEMENYA,07 JAN 1991,RSA,1sf2,,"Olympic Stadium, London (GBR)",2017-08-11,1182,2017,118.9
1878,1:58.90,,Raevyn ROGERS,07 SEP 1996,USA,1f1,,"Griswold Stadium, Portland, OR (USA)",2022-06-11,1182,2022,118.9
1878,1:58.90,,Natoya GOULE,30 MAR 1991,JAM,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2023-06-30,1182,2023,118.9
1895,1:58.91,,Letitia VRIESDE,05 OCT 1964,SUR,5,,Köln (GER),1995-08-18,1182,1995,118.91
1895,1:58.91,,Jearl MILES-CLARK,04 SEP 1966,USA,5f1,,Zürich (SUI),1996-08-14,1182,1996,118.91
1895,1:58.91,,Olga RASPOPOVA,27 DEC 1978,RUS,2,,St. Petersburg (RUS),2000-06-18,1182,2000,118.91
1895,1:58.91,,Svetlana CHERKASOVA,20 MAY 1978,RUS,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",2004-07-06,1182,2004,118.91
1895,1:58.91,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1h4,,"National Stadium, Beijing (CHN)",2008-08-15,1182,2008,118.91
1895,1:58.91,,Yuneysi SANTIUSTI,24 DEC 1984,CUB,1,,Padova (ITA),2011-07-17,1182,2011,118.91
1895,1:58.91,,Halimah NAKAAYI,16 OCT 1994,UGA,3sf2,,"Glasgow Arena, Glasgow (GBR) (i)",2024-03-02,1204,2024,118.91
1902,1:58.92,,Olga MINEYEVA,01 OCT 1952,URS,h,,Donetsk (URS),1984-09-07,1182,1984,118.92
1902,1:58.92,,Tatyana GREBENCHUK,22 NOV 1962,URS,7,,Pärnu (EST),1988-07-13,1182,1988,118.92
1902,1:58.92,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Granada (ESP),1996-05-29,1182,1996,118.92
1902,1:58.92,,Suzy FAVOR HAMILTON,08 AUG 1968,USA,1,,"Boston, MA (USA) (i)",1999-02-07,1203,1999,118.92
1902,1:58.92,,Sandra STALS,05 JUN 1975,BEL,2,,Heusden-Zolder (BEL),2002-07-20,1182,2002,118.92
1902,1:58.92,,Mina AIT HAMMOU,18 JUL 1978,MAR,5,,Zürich (SUI),2004-08-06,1182,2004,118.92
1902,1:58.92,,Svetlana USOVICH,14 OCT 1980,BLR,6,,"Yanmar Stadium Nagai, Osaka (JPN)",2007-08-28,1182,2007,118.92
1902,1:58.92,,Jennifer MEADOWS,17 APR 1981,GBR,2,,"Letzigrund, Zürich (SUI)",2011-09-08,1182,2011,118.92
1902,1:58.92,,Alysia MONTAÑO,23 APR 1986,USA,1sf1,,"Luzhniki Stadion, Moskva (RUS)",2013-08-16,1182,2013,118.92
1902,1:58.92,,Caster SEMENYA,07 JAN 1991,RSA,1,,"Stadio Guidobaldi, Rieti (ITA)",2013-09-08,1182,2013,118.92
1902,1:58.92,,Habitam ALEMU,09 JUL 1997,ETH,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",2017-05-05,1182,2017,118.92
1902,1:58.92,,Caster SEMENYA,07 JAN 1991,RSA,1h1,,Pretoria (RSA),2018-03-16,1182,2018,118.92
1902,1:58.92,,Rose Mary ALMANZA,13 JUL 1992,CUB,1h,,"Estadio Panamericano, La Habana (CUB)",2020-03-20,1182,2020,118.92
1902,1:58.92,,Abbey CALDWELL,03 JUL 2001,AUS,1f1,,"Sportcity Regional Arena, Manchester (GBR)",2023-05-27,1182,2023,118.92
1916,1:58.93,,Svetla ZLATEVA,25 FEB 1952,BUL,1h2,,"Olympiastadion, München (GER)",1972-08-31,1181,1972,118.93
1916,1:58.93,,Antje SCHRÖDER,02 SEP 1963,GDR,1,,"Los Angeles, CA (USA)",1983-06-26,1181,1983,118.93
1916,1:58.93,,Diane MODAHL-EDWARDS,17 JUN 1966,GBR,7f1,,Zürich (SUI),1990-08-15,1181,1990,118.93
1916,1:58.93,,Ana Fidelia QUIROT,23 MAR 1963,CUB,2,,Stockholm (SWE),1991-07-03,1181,1991,118.93
1916,1:58.93,,Ella KOVÁCS,11 DEC 1964,ROU,3,,Bruxelles (BEL),1993-09-03,1181,1993,118.93
1916,1:58.93,,Ana Fidelia QUIROT,23 MAR 1963,CUB,1,,Sevilla (ESP),1996-06-06,1181,1996,118.93
1916,1:58.93,,Natalya TSYGANOVA,07 FEB 1971,RUS,2,,Moskva (RUS),1998-08-01,1181,1998,118.93
1916,1:58.93,,Claudia GESELL,18 DEC 1977,GER,5,,"Stadio Olimpico, Roma (ITA)",2003-07-11,1181,2003,118.93
1916,1:58.93,,Mariya ZHURAVLYOVA,07 NOV 1986,RUS,1h6,,Kazan (RUS),2008-07-17,1181,2008,118.93
1916,1:58.93,,Elodie GUEGAN,19 DEC 1985,FRA,5,,"Stade de France, Paris-St-Denis (FRA)",2008-07-18,1181,2008,118.93
1916,1:58.93,,Kenia SINCLAIR,14 JUL 1980,JAM,2sf3,,"DS, Daegu (KOR)",2011-09-02,1181,2011,118.93
1916,1:58.93,,Mariya SAVINOVA,13 AUG 1985,RUS,2,,"Letzigrund, Zürich (SUI)",2013-08-29,1181,2013,118.93
1916,1:58.93,,Marina ARZAMASOVA,17 DEC 1987,BLR,4f1,,"Stadio Guidobaldi, Rieti (ITA)",2015-09-13,1181,2015,118.93
1916,1:58.93,,Lisneidy VEITÍA,29 APR 1994,CUB,2f1,,Barcelona (ESP),2016-06-30,1181,2016,118.93
1916,1:58.93,,Joanna JÓŹWIK,30 JAN 1991,POL,1sf2,,"Estádio Olímpico, Rio de Janeiro (BRA)",2016-08-18,1181,2016,118.93
1916,1:58.93,,Ajee' WILSON,08 MAY 1994,USA,1,,"St. Michael's HS, Austin, TX (USA)",2021-02-27,1181,2021,118.93
1916,1:58.93,,Mary MORAA,15 JUN 2000,KEN,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",2022-06-05,1181,2022,118.93
1916,1:58.93,,Jemma REEKIE,06 MAR 1998,GBR,2,,"Manchester Regional Arena, Manchester (GBR)",2023-07-09,1181,2023,118.93
1916,1:58.93,,Nelly JEPKOSGEI,14 JUL 1991,BRN,3,,"Nyayo National Stadium, Nairobi (KEN)",2024-04-20,1181,2024,118.93
1935,1:58.94,,Gabriella DORIO,26 JUN 1957,ITA,5sf1,,"Lenin Stadium, Moskva (URS)",1980-07-25,1181,1980,118.94
1935,1:58.94,,Nina RUCHAYEVA,17 APR 1956,URS,8,,Kiev (URS),1984-06-22,1181,1984,118.94
1935,1:58.94,,Doina MELINTE,27 DEC 1956,ROU,1,,Stockholm (SWE),1985-07-02,1181,1985,118.94
1935,1:58.94,,Violeta BECLEA-SZEKELY,26 MAR 1965,ROU,2,,"Stadio Adriatico, Pescara (ITA)",1989-07-19,1181,1989,118.94
1935,1:58.94,,Ana Fidelia QUIROT,23 MAR 1963,CUB,3,,Zürich (SUI),1992-08-19,1181,1992,118.94
1935,1:58.94,,Joetta CLARK,01 AUG 1962,USA,3,,"Stade Louis II, Monaco (MON)",1995-07-25,1181,1995,118.94
1935,1:58.94,,Ludmila FORMANOVÁ,02 JAN 1974,CZE,6,,Zürich (SUI),1997-08-13,1181,1997,118.94
1935,1:58.94,,Carla SACRAMENTO,10 DEC 1971,POR,7,,Zürich (SUI),1997-08-13,1181,1997,118.94
1935,1:58.94,,Irina MISTYUKEVICH,17 JUN 1977,RUS,1f2,,"Stade de France, Paris-St-Denis (FRA)",1999-07-21,1181,1999,118.94
1935,1:58.94,,Olga KUZNETSOVA,23 OCT 1967,RUS,2,,Moskva (RUS) (i),2001-02-17,1203,2001,118.94
1935,1:58.94,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,"National Indoor Arena, Birmingham (GBR) (i)",2003-03-16,1203,2003,118.94
1935,1:58.94,,Olga KOTLYAROVA,12 APR 1976,RUS,1,,Moskva (RUS) (i),2006-01-24,1203,2006,118.94
1935,1:58.94,,Lucia KLOCOVÁ,20 NOV 1983,SVK,4,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",2007-09-23,1181,2007,118.94
1935,1:58.94,,Yevgeniya ZINUROVA,16 NOV 1982,RUS,5,,Kazan (RUS),2008-07-18,1181,2008,118.94
1935,1:58.94,,Yelena KOFANOVA,08 AUG 1988,RUS,1,,"S. Darius & S. Girėnas Stadium, Kaunas (LTU)",2009-07-18,1181,2009,118.94
1935,1:58.94,,Lynsey SHARP,11 JUL 1990,GBR,2,,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1181,2014,118.94
1935,1:58.94,,Eunice Jepkoech SUM,10 APR 1988,KEN,3,,"Boudewijnstadion, Bruxelles (BEL)",2014-09-05,1181,2014,118.94
1935,1:58.94,,Olha LYAKHOVA,18 MAR 1992,UKR,3sf2,,"National Stadium, Beijing (CHN)",2015-08-27,1181,2015,118.94
1935,1:58.94,,Ajee' WILSON,08 MAY 1994,USA,1sf1,,"Sacramento, CA (USA)",2017-06-23,1181,2017,118.94
1935,1:58.94,,Habitam ALEMU,09 JUL 1997,ETH,1,,"Gallur, Madrid (ESP) (i)",2021-02-24,1203,2021,118.94
1935,1:58.94,,Jemma REEKIE,06 MAR 1998,GBR,1,,"Stadion Śląski, Chorzów (POL)",2023-06-04,1181,2023,118.94
1935,1:58.94,,Anita HORVAT,07 SEP 1996,SLO,6,,"Stadion Śląski, Chorzów (POL)",2023-07-16,1181,2023,118.94
1957,1:58.95,,Doina MELINTE,27 DEC 1956,ROU,1,,Firenze (ITA),1983-06-08,1181,1983,118.95
1957,1:58.95,,Lyubov KREMLYOVA,21 DEC 1961,URS,9,,Kiev (URS),1984-06-22,1181,1984,118.95
